1,2023-06-06 22:53:06.896748+00,2023-06-06 22:53:06.89687+00,1.45,2023-03-07 01:28:19.985795+00,2
2,2023-06-06 22:53:06.897252+00,2023-06-06 22:53:06.89732+00,2.72,2023-03-07 01:28:20.470336+00,2
3,2023-06-06 22:53:06.897498+00,2023-06-06 22:53:06.897503+00,12.83,2023-03-07 01:28:20.470336+00,2
4,2023-06-06 22:53:06.897526+00,2023-06-06 22:53:06.897537+00,1.45,2023-03-07 01:28:20.470336+00,2
5,2023-06-06 22:53:06.897552+00,2023-06-06 22:53:06.897555+00,1.93,2023-03-07 01:28:20.470336+00,2
6,2023-06-06 22:53:06.897561+00,2023-06-06 22:53:06.897562+00,2.56,2023-03-07 01:28:20.470336+00,2
7,2023-06-06 22:53:06.897568+00,2023-06-06 22:53:06.897569+00,2.36,2023-03-07 01:28:20.470336+00,2
8,2023-06-06 22:53:06.897576+00,2023-06-06 22:53:06.897577+00,1.41,2023-03-07 01:28:20.470336+00,2
9,2023-06-06 22:53:06.8976+00,2023-06-06 22:53:06.897601+00,1.65,2023-03-07 01:28:20.470336+00,2
10,2023-06-06 22:53:06.897627+00,2023-06-06 22:53:06.89763+00,96.93,2023-03-07 01:28:20.470336+00,2
11,2023-06-06 22:53:06.897637+00,2023-06-06 22:53:06.897639+00,2.85,2023-03-07 01:28:20.470336+00,2
12,2023-06-06 22:53:06.897644+00,2023-06-06 22:53:06.897654+00,3.94,2023-03-07 01:28:20.470336+00,2
13,2023-06-06 22:53:06.897662+00,2023-06-06 22:53:06.897664+00,18.16,2023-03-07 01:28:20.470336+00,2
14,2023-06-06 22:53:06.897683+00,2023-06-06 22:53:06.897684+00,1.31,2023-03-07 01:28:20.470336+00,2
15,2023-06-06 22:53:06.89769+00,2023-06-06 22:53:06.897691+00,7.86,2023-03-07 01:28:20.470336+00,2
16,2023-06-06 22:53:06.897696+00,2023-06-06 22:53:06.897698+00,1.55,2023-03-07 01:28:20.470336+00,2
17,2023-06-06 22:53:06.897703+00,2023-06-06 22:53:06.897704+00,6.64,2023-03-07 01:28:20.470336+00,2
18,2023-06-06 22:53:06.897709+00,2023-06-06 22:53:06.89771+00,1.43,2023-03-07 01:28:20.470336+00,2
