id,created_at,updated_at,multiplier,multiplier_dt,home_bet_id
1,2023-03-07 01:28:19.986309+00:00,2023-03-07 01:28:19.986355+00:00,1.45,2023-03-07 01:28:19.985795+00:00,2
2,2023-03-07 01:28:20.470762+00:00,2023-03-07 01:28:20.470773+00:00,2.72,2023-03-07 01:28:20.470336+00:00,2
3,2023-03-07 01:28:20.470932+00:00,2023-03-07 01:28:20.470936+00:00,12.83,2023-03-07 01:28:20.470336+00:00,2
4,2023-03-07 01:28:20.470957+00:00,2023-03-07 01:28:20.470960+00:00,1.45,2023-03-07 01:28:20.470336+00:00,2
5,2023-03-07 01:28:20.470974+00:00,2023-03-07 01:28:20.470976+00:00,1.93,2023-03-07 01:28:20.470336+00:00,2
6,2023-03-07 01:28:20.470987+00:00,2023-03-07 01:28:20.470989+00:00,2.56,2023-03-07 01:28:20.470336+00:00,2
7,2023-03-07 01:28:20.470998+00:00,2023-03-07 01:28:20.471003+00:00,2.36,2023-03-07 01:28:20.470336+00:00,2
8,2023-03-07 01:28:20.471016+00:00,2023-03-07 01:28:20.471018+00:00,1.41,2023-03-07 01:28:20.470336+00:00,2
9,2023-03-07 01:28:20.471047+00:00,2023-03-07 01:28:20.471054+00:00,1.65,2023-03-07 01:28:20.470336+00:00,2
10,2023-03-07 01:28:20.471079+00:00,2023-03-07 01:28:20.471082+00:00,96.93,2023-03-07 01:28:20.470336+00:00,2
11,2023-03-07 01:28:20.471095+00:00,2023-03-07 01:28:20.471097+00:00,2.85,2023-03-07 01:28:20.470336+00:00,2
12,2023-03-07 01:28:20.471114+00:00,2023-03-07 01:28:20.471116+00:00,3.94,2023-03-07 01:28:20.470336+00:00,2
13,2023-03-07 01:28:20.471125+00:00,2023-03-07 01:28:20.471128+00:00,18.16,2023-03-07 01:28:20.470336+00:00,2
14,2023-03-07 01:28:20.471137+00:00,2023-03-07 01:28:20.471139+00:00,1.31,2023-03-07 01:28:20.470336+00:00,2
15,2023-03-07 01:28:20.471148+00:00,2023-03-07 01:28:20.471150+00:00,7.86,2023-03-07 01:28:20.470336+00:00,2
16,2023-03-07 01:28:20.471159+00:00,2023-03-07 01:28:20.471162+00:00,1.55,2023-03-07 01:28:20.470336+00:00,2
17,2023-03-07 01:28:20.471171+00:00,2023-03-07 01:28:20.471173+00:00,6.64,2023-03-07 01:28:20.470336+00:00,2
18,2023-03-07 01:28:20.471183+00:00,2023-03-07 01:28:20.471195+00:00,1.43,2023-03-07 01:28:20.470336+00:00,2
19,2023-03-07 01:28:20.471227+00:00,2023-03-07 01:28:20.471230+00:00,43.36,2023-03-07 01:28:20.470336+00:00,2
20,2023-03-07 01:28:20.471260+00:00,2023-03-07 01:28:20.471263+00:00,1.32,2023-03-07 01:28:20.470336+00:00,2
21,2023-03-07 01:28:20.471274+00:00,2023-03-07 01:28:20.471276+00:00,1.41,2023-03-07 01:28:20.470336+00:00,2
22,2023-03-07 01:28:20.471286+00:00,2023-03-07 01:28:20.471288+00:00,1.93,2023-03-07 01:28:20.470336+00:00,2
23,2023-03-07 01:28:20.471327+00:00,2023-03-07 01:28:20.471332+00:00,2.53,2023-03-07 01:28:20.470336+00:00,2
24,2023-03-07 01:28:20.471359+00:00,2023-03-07 01:28:20.471361+00:00,1.88,2023-03-07 01:28:20.470336+00:00,2
25,2023-03-07 01:28:20.471373+00:00,2023-03-07 01:28:20.471376+00:00,1.17,2023-03-07 01:28:20.470336+00:00,2
26,2023-03-07 01:28:20.471385+00:00,2023-03-07 01:28:20.471388+00:00,2.38,2023-03-07 01:28:20.470336+00:00,2
27,2023-03-07 01:28:56.323537+00:00,2023-03-07 01:28:56.323580+00:00,3.96,2023-03-07 01:28:56.323146+00:00,2
28,2023-03-07 01:29:15.470737+00:00,2023-03-07 01:29:15.470791+00:00,2.20,2023-03-07 01:29:15.470371+00:00,2
29,2023-03-07 01:29:52.776129+00:00,2023-03-07 01:29:52.776183+00:00,5.59,2023-03-07 01:29:52.775627+00:00,2
30,2023-03-07 01:30:01.526222+00:00,2023-03-07 01:30:01.526254+00:00,1.05,2023-03-07 01:30:01.525907+00:00,2
31,2023-03-07 01:30:24.786853+00:00,2023-03-07 01:30:24.786917+00:00,1.92,2023-03-07 01:30:24.786264+00:00,2
32,2023-03-07 01:30:49.580605+00:00,2023-03-07 01:30:49.580647+00:00,1.62,2023-03-07 01:30:49.580293+00:00,2
33,2023-03-07 01:31:30.426574+00:00,2023-03-07 01:31:30.426618+00:00,4.00,2023-03-07 01:31:30.426191+00:00,2
34,2023-03-07 01:31:49.964715+00:00,2023-03-07 01:31:49.964763+00:00,1.68,2023-03-07 01:31:49.964309+00:00,2
35,2023-03-07 01:32:14.966700+00:00,2023-03-07 01:32:14.966744+00:00,4.10,2023-03-07 01:32:14.966312+00:00,2
36,2023-03-07 01:32:43.172587+00:00,2023-03-07 01:32:43.172628+00:00,2.02,2023-03-07 01:32:43.172288+00:00,2
37,2023-03-07 01:33:09.249793+00:00,2023-03-07 01:33:09.249857+00:00,1.92,2023-03-07 01:33:09.249275+00:00,2
38,2023-03-07 01:33:31.912203+00:00,2023-03-07 01:33:31.912262+00:00,1.62,2023-03-07 01:33:31.911619+00:00,2
39,2023-03-07 01:34:20.943702+00:00,2023-03-07 01:34:20.943745+00:00,21.03,2023-03-07 01:34:20.943378+00:00,2
40,2023-03-07 01:34:40.966860+00:00,2023-03-07 01:34:40.966902+00:00,1.10,2023-03-07 01:34:40.966459+00:00,2
41,2023-03-07 01:35:22.832919+00:00,2023-03-07 01:35:22.832963+00:00,11.44,2023-03-07 01:35:22.832574+00:00,2
42,2023-03-07 01:36:04.315971+00:00,2023-03-07 01:36:04.316027+00:00,11.72,2023-03-07 01:36:04.315547+00:00,2
43,2023-03-07 01:36:38.454705+00:00,2023-03-07 01:36:38.454767+00:00,6.23,2023-03-07 01:36:38.453431+00:00,2
44,2023-03-07 01:36:49.717531+00:00,2023-03-07 01:36:49.717590+00:00,1.00,2023-03-07 01:36:49.717098+00:00,2
45,2023-03-07 01:37:35.817263+00:00,2023-03-07 01:37:35.817325+00:00,20.89,2023-03-07 01:37:35.816678+00:00,2
46,2023-03-07 01:38:03.539122+00:00,2023-03-07 01:38:03.539193+00:00,3.10,2023-03-07 01:38:03.538730+00:00,2
47,2023-03-07 01:38:26.578870+00:00,2023-03-07 01:38:26.579017+00:00,1.99,2023-03-07 01:38:26.578333+00:00,2
48,2023-03-07 01:38:58.357773+00:00,2023-03-07 01:38:58.357795+00:00,3.15,2023-03-07 01:38:58.357516+00:00,2
49,2023-03-07 01:39:54.299374+00:00,2023-03-07 01:39:54.299456+00:00,26.82,2023-03-07 01:39:54.298763+00:00,2
50,2023-03-07 01:40:48.336788+00:00,2023-03-07 01:40:48.336857+00:00,20.34,2023-03-07 01:40:48.336402+00:00,2
51,2023-03-07 01:41:01.902793+00:00,2023-03-07 01:41:01.902909+00:00,1.65,2023-03-07 01:41:01.902338+00:00,2
52,2023-03-07 01:41:37.439586+00:00,2023-03-07 01:41:37.439654+00:00,3.56,2023-03-07 01:41:37.439243+00:00,2
53,2023-03-07 01:42:13.922790+00:00,2023-03-07 01:42:13.922881+00:00,10.08,2023-03-07 01:42:13.922338+00:00,2
54,2023-03-07 01:42:41.218597+00:00,2023-03-07 01:42:41.218637+00:00,3.09,2023-03-07 01:42:41.218342+00:00,2
55,2023-03-07 01:43:08.521464+00:00,2023-03-07 01:43:08.521529+00:00,2.25,2023-03-07 01:43:08.521090+00:00,2
56,2023-03-07 01:43:35.848812+00:00,2023-03-07 01:43:35.848868+00:00,5.09,2023-03-07 01:43:35.848477+00:00,2
57,2023-03-07 01:44:21.913247+00:00,2023-03-07 01:44:21.913296+00:00,16.37,2023-03-07 01:44:21.912906+00:00,2
58,2023-03-07 01:44:35.802219+00:00,2023-03-07 01:44:35.802301+00:00,1.02,2023-03-07 01:44:35.802041+00:00,2
59,2023-03-07 01:44:49.412581+00:00,2023-03-07 01:44:49.412614+00:00,1.00,2023-03-07 01:44:49.412237+00:00,2
60,2023-03-07 01:50:48.918314+00:00,2023-03-07 01:50:48.918402+00:00,14.47,2023-03-07 01:50:48.917660+00:00,2
61,2023-03-07 01:50:48.920492+00:00,2023-03-07 01:50:48.920499+00:00,1.31,2023-03-07 01:50:48.917660+00:00,2
62,2023-03-07 01:50:48.920525+00:00,2023-03-07 01:50:48.920528+00:00,1.35,2023-03-07 01:50:48.917660+00:00,2
63,2023-03-07 01:50:48.920539+00:00,2023-03-07 01:50:48.920541+00:00,1.03,2023-03-07 01:50:48.917660+00:00,2
64,2023-03-07 01:50:48.920558+00:00,2023-03-07 01:50:48.920562+00:00,2.32,2023-03-07 01:50:48.917660+00:00,2
65,2023-03-07 01:50:48.920581+00:00,2023-03-07 01:50:48.920585+00:00,2.72,2023-03-07 01:50:48.917660+00:00,2
66,2023-03-07 01:50:48.920609+00:00,2023-03-07 01:50:48.920611+00:00,2.18,2023-03-07 01:50:48.917660+00:00,2
67,2023-03-07 01:50:48.920622+00:00,2023-03-07 01:50:48.920624+00:00,1.59,2023-03-07 01:50:48.917660+00:00,2
68,2023-03-07 01:50:48.920634+00:00,2023-03-07 01:50:48.920637+00:00,1.39,2023-03-07 01:50:48.917660+00:00,2
69,2023-03-07 01:50:48.920692+00:00,2023-03-07 01:50:48.920696+00:00,1.20,2023-03-07 01:50:48.917660+00:00,2
70,2023-03-07 01:50:48.920711+00:00,2023-03-07 01:50:48.920714+00:00,2.02,2023-03-07 01:50:48.917660+00:00,2
71,2023-03-07 01:50:48.920789+00:00,2023-03-07 01:50:48.920794+00:00,1.82,2023-03-07 01:50:48.917660+00:00,2
72,2023-03-07 01:50:48.920817+00:00,2023-03-07 01:50:48.920825+00:00,1.04,2023-03-07 01:50:48.917660+00:00,2
73,2023-03-07 01:50:48.920840+00:00,2023-03-07 01:50:48.920866+00:00,5.75,2023-03-07 01:50:48.917660+00:00,2
74,2023-03-07 01:50:48.920883+00:00,2023-03-07 01:50:48.920889+00:00,4.97,2023-03-07 01:50:48.917660+00:00,2
75,2023-03-07 01:50:50.430736+00:00,2023-03-07 01:50:50.430746+00:00,2.05,2023-03-07 01:50:50.430560+00:00,2
76,2023-03-07 01:51:18.151766+00:00,2023-03-07 01:51:18.151859+00:00,3.84,2023-03-07 01:51:18.151365+00:00,2
77,2023-03-07 01:51:46.240633+00:00,2023-03-07 01:51:46.240693+00:00,3.93,2023-03-07 01:51:46.240246+00:00,2
78,2023-03-07 01:52:25.028421+00:00,2023-03-07 01:52:25.028498+00:00,8.82,2023-03-07 01:52:25.027760+00:00,2
79,2023-03-07 01:52:44.165259+00:00,2023-03-07 01:52:44.165317+00:00,1.03,2023-03-07 01:52:44.164859+00:00,2
80,2023-03-07 01:53:24.008144+00:00,2023-03-07 01:53:24.008200+00:00,9.67,2023-03-07 01:53:24.007763+00:00,2
81,2023-03-07 01:53:58.927239+00:00,2023-03-07 01:53:58.927328+00:00,6.77,2023-03-07 01:53:58.926841+00:00,2
82,2023-03-07 01:54:25.865935+00:00,2023-03-07 01:54:25.865996+00:00,3.16,2023-03-07 01:54:25.865508+00:00,2
83,2023-03-07 01:54:50.878866+00:00,2023-03-07 01:54:50.878922+00:00,1.63,2023-03-07 01:54:50.878500+00:00,2
84,2023-03-07 01:55:02.987684+00:00,2023-03-07 01:55:02.987695+00:00,1.28,2023-03-07 01:55:02.987458+00:00,2
85,2023-03-07 01:55:24.614040+00:00,2023-03-07 01:55:24.614102+00:00,1.45,2023-03-07 01:55:24.613573+00:00,2
86,2023-03-07 01:55:34.092922+00:00,2023-03-07 01:55:34.092971+00:00,1.24,2023-03-07 01:55:34.092613+00:00,2
